year,thumbnail,location
1987,Logo-omm.png,"Jalapa, Veracruz"
1988,Logo-omm.png,"Hermosillo, Sonora"
1989,Logo-omm.png,"Metepec, Puebla"
1990,Logo-omm.png,"Guanajuato, Guanajuato"
1991,Logo-omm.png,"Oaxtepec, Morelos"
1992,Logo-omm.png,"La Trinidad, Tlaxcala"
1993,Logo-omm.png,"Acapulco, Guerrero"
1994,Logo-omm.png,"Guadalajara, Jalisco"
1995,Logo-omm.png,"Colima, Colima"
1996,Logo-omm.png,"Mérida, Yucatán"
1997,Logo-omm.png,"Monterrey, Nuevo León"
1998,Logo-omm.png,"Querétaro, Querétaro"
1999,Logo-omm.png,"Oaxaca, Oaxaca"
2000,Logo-omm.png,"Morelia, Michoacán"
2001,Logo-omm.png,"Oaxtepec, Morelos"
2002,Logo-omm.png,"Colima, Colima"
2003,Logo-omm.png,"Guanajuato, Guanajuato"
2004,Logo-omm.png,"Ixtapan de la Sal, Estado de México"
2005,Logo-omm.png,"Campeche, Campeche"
2006,Logo-omm.png,"Zacatecas, Zacatecas"
2007,Logo-omm.png,"Saltillo, Coahuila"
2008,Logo-omm.png,"San Carlos, Sonora"
2009,Logo-omm.png,"Campeche, Campeche"
2010,Logo-omm.png,"Ensenada, Baja California"
2011,Logo-omm.png,"San Luis Potosí, San Luis Potosí"
2012,Logo-omm.png,"Guanajuato, Guanajuato"
2013,Logo-omm.png,"Huasca, Hidalgo"
2014,Logo-omm.png,"Toluca, Estado de México"
2015,Logo-omm.png,"Guadalajara, Jalisco"
2016,Logo-omm.png,"Acapulco, Guerrero"
2017,Logo-omm.png,"Santiago, Nuevo León"
2018,Logo-omm.png,"Campeche, Campeche"
2019,Logo-omm.png,CDMX
2020,Logo-omm.png,Virtual
2021,Logo-omm.png,Virtual
